2012-07-03 14:36:16,568  0.64 Click(127,621)
2012-07-03 14:39:19,783  183.85 Flick from(82,636)to(97,261)
2012-07-03 14:39:20,313  184.38 Flick from(82,636)to(97,261)
2012-07-03 14:39:20,844  184.91 Flick from(82,636)to(97,261)
2012-07-03 14:39:21,374  185.44 Flick from(82,636)to(97,261)
2012-07-03 14:39:21,904  185.97 Flick from(82,636)to(97,261)
2012-07-03 14:39:22,434  186.50 Flick from(82,636)to(97,261)
2012-07-03 14:39:22,966  187.04 Flick from(82,636)to(97,261)
2012-07-03 14:39:23,496  187.57 Flick from(82,636)to(97,261)
2012-07-03 14:39:24,026  188.10 Flick from(82,636)to(97,261)
2012-07-03 14:39:24,555  188.63 Flick from(82,636)to(97,261)
2012-07-03 14:39:25,109  189.18 Flick from(82,636)to(97,261)
2012-07-03 14:39:25,640  189.71 Flick from(82,636)to(97,261)
2012-07-03 14:39:26,173  190.24 Flick from(82,636)to(97,261)
2012-07-03 14:39:26,703  190.77 Flick from(82,636)to(97,261)
2012-07-03 14:39:27,233  191.30 Flick from(82,636)to(97,261)
2012-07-03 14:39:27,763  191.83 Flick from(82,636)to(97,261)
2012-07-03 14:39:28,292  192.36 Flick from(82,636)to(97,261)
2012-07-03 14:39:28,822  192.89 Flick from(82,636)to(97,261)
2012-07-03 14:39:29,354  193.42 Flick from(82,636)to(97,261)
2012-07-03 14:39:29,888  193.96 Flick from(82,636)to(97,261)
2012-07-03 14:39:30,418  194.49 Flick from(82,636)to(97,261)
2012-07-03 14:39:30,948  195.02 Flick from(82,636)to(97,261)
2012-07-03 14:39:31,479  195.55 Flick from(82,636)to(97,261)
2012-07-03 14:39:32,009  196.08 Flick from(82,636)to(97,261)
2012-07-03 14:39:32,542  196.61 Flick from(82,636)to(97,261)
2012-07-03 14:39:33,072  197.14 Flick from(82,636)to(97,261)
2012-07-03 14:39:33,601  197.67 Flick from(82,636)to(97,261)
2012-07-03 14:39:34,132  198.20 Flick from(82,636)to(97,261)
2012-07-03 14:39:34,663  198.73 Flick from(82,636)to(97,261)
2012-07-03 14:39:35,194  199.26 Flick from(82,636)to(97,261)
2012-07-03 14:39:35,723  199.79 Flick from(82,636)to(97,261)
2012-07-03 14:39:36,255  200.33 Flick from(82,636)to(97,261)
2012-07-03 14:39:36,785  200.86 Flick from(82,636)to(97,261)
2012-07-03 14:39:37,315  201.38 Flick from(82,636)to(97,261)
2012-07-03 14:39:37,845  201.91 Flick from(82,636)to(97,261)
2012-07-03 14:39:38,375  202.44 Flick from(82,636)to(97,261)
2012-07-03 14:39:38,904  202.97 Flick from(82,636)to(97,261)
2012-07-03 14:39:39,434  203.50 Flick from(82,636)to(97,261)
2012-07-03 14:39:39,967  204.04 Flick from(82,636)to(97,261)
2012-07-03 14:39:40,496  204.57 Flick from(82,636)to(97,261)
2012-07-03 14:39:41,026  205.10 Flick from(82,636)to(97,261)
2012-07-03 14:39:41,556  205.63 Flick from(82,636)to(97,261)
2012-07-03 14:39:42,088  206.16 Flick from(82,636)to(97,261)
2012-07-03 14:39:42,618  206.69 Flick from(82,636)to(97,261)
2012-07-03 14:39:43,148  207.22 Flick from(82,636)to(97,261)
2012-07-03 14:39:43,693  207.76 Flick from(82,636)to(97,261)
2012-07-03 14:39:44,223  208.29 Flick from(82,636)to(97,261)
2012-07-03 14:39:44,753  208.82 Flick from(82,636)to(97,261)
2012-07-03 14:39:45,282  209.35 Flick from(82,636)to(97,261)
2012-07-03 14:39:45,845  209.91 Flick from(82,636)to(97,261)
2012-07-03 14:39:46,375  210.44 Flick from(82,636)to(97,261)
2012-07-03 14:39:46,904  210.97 Flick from(82,636)to(97,261)
2012-07-03 14:39:47,437  211.51 Flick from(82,636)to(97,261)
2012-07-03 14:39:47,967  212.04 Flick from(82,636)to(97,261)
2012-07-03 14:39:48,496  212.57 Flick from(82,636)to(97,261)
2012-07-03 14:39:49,026  213.10 Flick from(82,636)to(97,261)
2012-07-03 14:39:49,556  213.63 Flick from(82,636)to(97,261)
2012-07-03 14:39:50,086  214.16 Flick from(82,636)to(97,261)
2012-07-03 14:39:50,617  214.69 Flick from(82,636)to(97,261)
